Year,Hydro,Thermal,Geothermal,Wind,Solar,Total
2024,3630.7,1129.5,5551,1797.7,460.4,12569.3
2023,2666.7,1305.7,6032.1,2008.1,491.5,12504.1
2022,3039.9,1584.9,5517.5,2143,383.7,12669
2021,3675,1262,5037,1984.8,167.4,12126.2
2020,4232.7,754.5,5059.8,1331.4,88.4,11466.8
2019,3205.3,1313.3,5234.7,1562.7,92.3,11408.3
2018,3986.4,1545.8,5127.8,375.6,13.68,11049.28
2017,2776.8,2534.1,4756.3,61.3,0,10128.5
2016,3959.9,1470.9,4484.2,56.4,0,9971.4
2015,3463.3,1412.1,4520.7,59.7,0,9455.8
2014,3569,2585.2,2917.4,17,0,9088.6
2013,4435,2161.7,1780.9,14.7,0,8392.3
2012,4015.9,2200.4,1515.9,14.4,0,7746.6
2011,3712.2,2800.5,1443.7,17.6,0,7974
2010,3224,2201,1442,16.8,0,6883.8
2009,2160,2997,1293,7.2,0,6457.2
2008,3267,2145.4,1039,0.2,0,6451.6
2007,3591.5,1735.8,988.9,0.1,0,6316.3
2006,3024.8,1818.5,1045.7,0.3,0,5889.3
2005,3038.9,1506.2,1001.6,0.3,0,5547
2004,3169.2,1038.3,986.6,0.4,0,5194.5
2003,3432.8,930.6,498.4,0.4,0,4862.2
2002,3070.9,1167.3,447.2,0.4,0,4685.8
2001,2031,1965.4,455.6,0.1,0,4452.1
2000,1793.8,2017.8,367.1,0.2,0,4178.9
1999,3062.5,1136.1,383,0.2,0,4581.8
1998,3497.6,672.2,388.6,0.2,0,4558.6
1997,3373.4,646.7,369,0,0,4389.1
1996,3183,467.1,390,0,0,4040.1
1995,3123,334.3,290,0,0,3747.3
1994,3068,209.3,261,0,0,3538.3
1993,2993,131.3,272,0,0,3396.3
1992,2796,147,272,0,0,3215
1991,2780,159.3,298,0,0,3237.3
1990,2537,171,336,0,0,3044
1989,2469,109,322,0,0,2900
1988,2323,198,323,0,0,2844
1987,1813,267,374,0,0,2454
1986,1736,202,369,0,0,2307
1985,1680,139,336,0,0,2155
1984,1491,225,233,0,0,1949
1983,1478,164,262,0,0,1904
1982,1397,311,96,0,0,1804
1981,1381,334,39,0,0,1754
1980,1060,430,0,0,0,1490
1979,1308.2,259.4,0,0,0,1567.6
1978,1072.8,308.9,0,0,0,1381.7
1977,749.3,364,0,0,0,1113.3
1976,583.2,574.7,0,0,0,1157.9
